Day,Meal_Type,Item_Type,Food_Item
Monday,Breakfast,Monday,Boiled Sprouts
Monday,Breakfast,Monday,Egg bhurjee
Monday,Breakfast,Monday,White Bread+Butter+Jam
Monday,Breakfast,Monday,Milk+Tea+Coffee
Monday,Breakfast,Monday,Cornflakes
Monday,Breakfast,Monday,Bournvita + Haldi
Monday,Breakfast,Monday,Grapes
Monday,Breakfast,Monday,Carrot+Tomato+Onion Salad
Monday,Breakfast,Monday,Masoor Dal
Monday,Breakfast,Monday,Sev tamatar
Monday,Breakfast,Monday,Mix Kathod
Monday,Breakfast,Monday,Plain Rice
Monday,Breakfast,Monday,Chapati
Monday,Breakfast,Monday,Roasted Papad
Monday,Breakfast,Monday,Dabeli/Vada pav
Monday,Breakfast,Monday,ketchup & green chutney
Monday,Breakfast,Monday,Litchi Crush
Monday,Breakfast,Monday,Tea + Coffee + Milk
Monday,Breakfast,Monday,"cucumber, onion, tomato salad"
Monday,Breakfast,Monday,Dal Tadka
Monday,Breakfast,Monday,Methi Matar Malai
Monday,Breakfast,Monday,Jeera Rice
Monday,Breakfast,Monday,Chapati
Monday,Breakfast,Monday,Rice Kheer
Monday,Breakfast,Monday,Chicken Sukka
Tuesday,Breakfast,Tuesday,-
Tuesday,Breakfast,Tuesday,Omelette
Tuesday,Breakfast,Tuesday,White Bread+Butter+Jam
Tuesday,Breakfast,Tuesday,Milk+Ginger Tea+Coffee
Tuesday,Breakfast,Tuesday,Chocos
Tuesday,Breakfast,Tuesday,Bournvita + Haldi
Tuesday,Breakfast,Tuesday,Papaya
Tuesday,Breakfast,Tuesday,Kachumber Salad
Tuesday,Breakfast,Tuesday,Dal Fry
Tuesday,Breakfast,Tuesday,Paneer Lababdar
Tuesday,Breakfast,Tuesday,White Matar Masala
Tuesday,Breakfast,Tuesday,Jeera Rice
Tuesday,Breakfast,Tuesday,Chapati
Tuesday,Breakfast,Tuesday,Ramakada
Tuesday,Breakfast,Tuesday,Samosa Chaat
Tuesday,Breakfast,Tuesday,Dahi + green & imli chutney
Tuesday,Breakfast,Tuesday,Lemonade
